Taxon,Subtaxon,Family,Scientific Name,Common Name,ESA,MESA,IUCN,RSGCN,G-Rank,S-Rank,USFWS,SGCN,BHHA,Priority at-risk Species,Thresholds,CCVA,Threats,Description of Threats,Pop. Trend,Other,CCVA Source,Total # of Conservation Sources,Total # of Climate Sources
Algae,,Cladophoraceae,Chaetomorpha linum,Green algae,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Cladophoraceae,Chaetomorpha melagonium,Green algae,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Cladophoraceae,Chaetomorpha picquotiana,Green algae,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Champiaceae,Champia parvula,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Gigartinaceae,Chondrus crispus,Irish moss,NA,NA,NA,NA,NA,NA,NA,N,Y,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Chordaceae,Chorda filum,"Dead mans rope, sea lace",NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Chordariaceae,Chordaria flagelliformis,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Cladophoraceae,Cladophora rupestris,Green algae,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Cladophoraceae,Cladophora sericea,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Mesophyllaceae,Clathromorphum circumscriptum,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Corallinaceae,Corallina officinalis,Coral weed,NA,NA,NA,NA,NA,NA,NA,N,Y,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Cystocloniaceae,Cystoclonium purpureum,Purple claw weed,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Desmarestiaceae,Dasya baillouviana,NA,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Desmarestiaceae,Desmarestia aculeata,"Color changer, sea sorrel",NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Desmarestiaceae,Desmarestia viridis,Stringy acid kept,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Chordariaceae,Dictyosiphon foeniculaceus,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Ectocarpaceae,Ectocarpus fasciculatus,NA,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Ectocarpaceae,Ectocarpus siliculosus,NA,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Chordariaceae,Elachista fucicola,Tiny wrack bush,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Erythrotrichiaceae,Erythrotrichia carnea,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Kallymeniaceae,Euthora cristata,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Fucaceae,Fucus distichus,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Fucaceae,Fucus distichus edentatus,Sea wrack,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Fucaceae,Fucus distichus evanescens,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Fucaceae,Fucus spiralis,Spiral wrack,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Fucaceae,Fucus vesiculosus,Rockweed/Bladder wrack,NA,NA,NA,NA,NA,NA,NA,N,Y,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Fucaceae,Fucus vesiculosus forma mytilii,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Gayraliacae,Gayralia oxysperma,NA - green algae,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Gomontiaceae,Gomontia polyrhiza,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Gracilariaceae,Gracilaria tikvahiae,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Delesseriaceae,Grinnellia americana,Grinnell's Pink Lead,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Phyllophoraceae,Gymnogongrus crenulatus,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Chordaceae,Halosiphon tomentosus,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Hildenbrandiaceae,Hildenbrandia rubra,Rusty rock,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Acinetosporaceae,Hincksia granulosa,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Laminariaceae,Laminaria digitata,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Chordariaceae,Leathesia marina,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Lithothamniaceae,Lithothamnion glaciale,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Oscillatoriaceae,Lyngbya confervoides,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Phyllophoraceae,Mastocarpus stellatus,False Irish Moss,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Palmariaceae,Palmaria palmata,Dulse,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Scytosiphonaceae ,Petalonia fascia,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Delesseriaceae,Phycodrys rubens,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Phyllophoraceae,Phyllophora pseudoceranoides,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Lithothamniaceae,Phymatolithon lenormandii,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Callithamniaceae,Plumaria plumosa,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Bangiaceae,Porphyra leucostricta,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Bangiaceae,Porphyra purpurea,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Bangiaceae,Porphyra umbilicalis,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Prasiolaceae,Prasiola stipitata,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Kornmanniaceae,Pseudendoclonium submarinum,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Lithodermataceae,Pseudolithoderma extensum,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Chordariaceae,Punctaria latifolia,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Chordariaceae,Punctaria plantaginea,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Acinetosporaceae,Pylaiella littoralis,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Bangiaceae,Pyropia leucosticta,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Ralfsiaceae,Ralfsia verrucosa,Crustose brown algae,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Cladophoraceae,Rhizoclonium riparium,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Cladophoraceae,Rhizoclonium tortuosum,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Rhodomelaceae,Rhodomela confervoides,Straggly bush weed,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Laminariaceae,Saccharina latissima,Sugar kelp,NA,NA,NA,NA,NA,NA,NA,N,Y,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Laminariaceae,Saccharina longicruris,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Rivulariaceae ,Scytonematopsis crustacea ,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Scytosiphonaceae,Scytosiphon lomentaria,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Scytosiphonaceae,Stragularia clavata,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Stylonemataceae,Stylonema alsidii,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Ulotrichaceae,Ulothrix flacca,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Ulvaceae,Ulva clathrata,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Ulvaceae,Ulva intestinalis,Gutweed,NA,NA,NA,NA,NA,NA,NA,N,Y,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Ulvaceae,Ulva lactuca,Sea lettuce,NA,NA,NA,NA,NA,NA,NA,N,Y,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Ulvaceae,Ulva linza,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Ulvaceae,Ulva prolifera,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Ulvaceae,Ulvaria obscura,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Ulotrichaceae,Urospora penicilliformis,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Algae,,Rhodomelaceae,Vertebrata lanosa,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Bird,Seaduck,Anatidae,Anas crecca,Eurasian teal,NA,NA,LC,NA,G5,S2,NA,N,N,N,N,NA,NA,NA,Unknown,NA,NA,3,0
Bird,Shorebird,Ardeidae,Ardea herodias,Great blue heron,NA,NA,LC,NA,G5,S4,NA,N,Y,N,N,NA,NA,NA,Increasing,NA,NA,3,0
Bird,Seaduck,Anatidae,Bucephala albeola,Bufflehead,NA,NA,LC,NA,G5,S5,NA,N,N,N,N,NA,NA,NA,Increasing,NA,NA,3,0
Bird,Shorebird,Charadriidae,Charadrius vociferus,Killdeer,NA,NA,LC,NA,G5,S5,NA,N,N,N,N,NA,NA,NA,Decreasing,NA,NA,3,0
Bird,Shorebird,Ardeidae,Egretta thula,Snowy egret,NA,NA,LC,VH,G5,S2,NA,Y,N,N,N,NA,NA,NA,Increasing,Highest priority Waterbird Plan Only a few breeding colonies,NA,4,0
Bird,Shorebird,Haematopodidae,Haematopus palliatus,American oystercatcher,NA,NA,LC,VH,G5,S2,28,Y,N,Y,N,NA,NA,NA,Stable,Highest priority Waterbird Plan,NA,5,0
Bird,Gull,Laridae,Larus hyperboreus,Glaucous gull,NA,NA,LC,NA,G5,S1,NA,N,N,N,N,NA,NA,NA,Stable,NA,NA,3,0
Bird,Gull,Laridae,Leucophaeus atricilla,Laughing gull,NA,NA,LC,NA,G5,S2,NA,N,N,N,N,NA,NA,NA,Increasing,NA,NA,3,0
Bird,Shorebird,Scolopacidae,Limnodromus griseus,Short-billed dowitcher,NA,NA,LC,NA,G5,S4,NA,N,,N,N,NA,NA,NA,Decreasing,NA,NA,3,0
Bird,Shorebird,Scolopacidae,Limosa fedoa,Marbled godwit,NA,NA,LC,NA,G5,S1,NA,N,,N,N,NA,NA,NA,Decreasing,NA,NA,3,0
Bird,Shorebird,Ardeidae,Nyctanassa violacea,Yellow-crowned night-heron,NA,NA,LC,VH,G5,S1,NA,N,N,N,N,NA,NA,NA,Stable,NA,NA,4,0
Bird,Shorebird,Ardeidae,Nycticorax nycticorax,Black-crowned night heron,NA,NA,LC,VH,G5,S2,NA,Y,N,N,N,NA,NA,NA,Decreasing,"Highest priority Waterbird Plan, Only a few breeding colonies",NA,4,0
Bird,Shorebird,Podicipedidae,Podilymbus podiceps,Pied-billed grebe,NA,E,LC,VH,G5,S1,NA,Y,N,N,N,NA,NA,NA,Stable,Highest priority Waterbird Plan,NA,5,0
Bird,Tern,Laridae,Sterna forsteri,Forster's tern,NA,NA,LC,NA,G5,S1,NA,N,N,N,N,NA,NA,NA,Increasing,NA,NA,3,0
Bird,Shorebird,Scolopacidae,Tringa melanoleuca,Greater yellowlegs,NA,NA,LC,NA,G5,S4,NA,N,,N,N,NA,NA,NA,Stable,NA,NA,3,0
Bird,Shorebird,Scolopacidae,Tringa semipalmata,Willet,NA,NA,LC,VH,G5,S3,NA,Y,,N,N,NA,NA,NA,Stable,MA Breeding Bird Atlas deems it local and strongly increasing,NA,4,0
Bird,Shorebird,Scolopacidae,Tringa solitaria,Solitary sandpiper,NA,NA,LC,NA,G5,S4,NA,N,,N,N,NA,NA,NA,Decreasing,NA,NA,3,0
Fish,,Cyclopteridae,Cyclopterus lumpus,Lumpfish,NA,NA,NA,NA,G5,NA,NA,N,N,N,N,NA,NA,NA,NA,NA,NA,1,0
Fish,,Clupeidae,Dorosoma cepedianum,American Gizzard Shad,NA,NA,LC,NA,G5,S4,NA,N,Y,N,N,NA,NA,Fishing & harvesting aquatic resources and dams & water management/use,Stable,NA,NA,3,0
Fish,,Gadidae,Enchelyopus cimbrius,Fourbeard rockling,NA,NA,LC,NA,G5,NA,NA,N,N,N,N,NA,NA,NA,Unknown,NA,NA,2,0
Fish,,Fundulidae,Fundulus heteroclitus,Mummichog,NA,NA,LC,NA,G5,S5,NA,N,Y,N,N,NA,NA,NA,Stable,NA,NA,3,0
Fish,,Fundulidae,Fundulus majalis,Killifish,NA,NA,LC,NA,G5,NA,NA,N,Y,N,N,NA,NA,NA,Unknown,NA,NA,2,0
Fish,,Paralichthyidae,Hippoglossina oblonga,American fourspot flounder,NA,NA,LC,NA,NA,NA,NA,N,N,N,N,NA,NA,Fishing & harvesting aquatic resources,Unknown,NA,NA,1,0
Fish,,Liparidae,Liparis atlanticus,Atlantic seasnail,NA,NA,NA,NA,G5,NA,NA,N,N,N,N,NA,NA,NA,NA,NA,NA,1,0
Fish,,Stichaeidae,Lumpenus lampretaeformis,Snakeblenny,NA,NA,NA,NA,G5,NA,NA,N,N,N,N,NA,NA,NA,NA,NA,NA,1,0
Fish,,Atherinopsidae,Menidia menidia,Silverside,NA,NA,LC,NA,G5,S5,NA,N,Y,N,N,NA,NA,NA,Stable,NA,NA,3,0
Fish,,Gadidae,Microgadus tomcod,Atlantic Tomcod,NA,NA,LC,NA,G5,S4,NA,N,Y,N,N,NA,NA,NA,Stable,NA,NA,3,0
Fish,,Moronidae,Morone americana,White Perch,NA,NA,LC,NA,G5,S5,NA,N,Y,N,N,NA,NA,NA,Stable,NA,NA,3,0
Fish,,Cottidae,Myoxocephalus aenaeus,Grubby,NA,NA,NA,NA,G5,NA,NA,N,Y,N,N,NA,NA,NA,NA,NA,NA,1,0
Fish,,Cottidae,Myoxocephalus octodecemspinosus,Longhorn sculpin,NA,NA,NA,NA,G5,NA,NA,N,N,N,N,NA,NA,NA,NA,NA,NA,1,0
Fish,,Cottidae,Myoxocephalus scorpius,Shorthorn scuplin,NA,NA,NA,NA,G5,NA,NA,N,N,N,N,NA,NA,NA,NA,NA,NA,1,0
Fish,,Petromyzontidae,Petromyzon marinus,Sea Lamprey,NA,NA,LC,NA,G5,S4,NA,Y,N,N,N,NA,NA,NA,Stable,NA,NA,3,0
Fish,,Pholidae,Pholis gunnellus,Rock gunnel,NA,NA,NA,NA,G5,NA,NA,N,Y,N,N,NA,NA,NA,NA,NA,NA,1,0
Fish,,Salmonidae,Salvelinus fontinalis,Brook Trout,NA,NA,NA,VH,G5,S4,NA,Y,Y,N,N,NA,NA,NA,NA,NA,NA,3,0
Fish,,Labridae,Tautogolabrus adspersus,Cunner,NA,NA,NA,NA,G5,NA,NA,N,Y,N,N,NA,NA,NA,NA,NA,NA,1,0
Fish,,Stichaeidae,Ulvaria subbifurcata,Radiated shanny,NA,NA,NA,NA,G5,NA,NA,N,N,N,N,NA,NA,NA,NA,NA,NA,1,0
Fish,,Zoarcidae,Zoarces viviparus,Eelpout,NA,NA,NA,NA,NA,NA,NA,N,N,N,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Onchidorididae,Acanthodoris pilosa,Hairy spiny doris,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Aeolidiidae,Aeolidia papillosa,Nudibranch,NA,NA,NA,NA,NA,NA,NA,N,Y,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Naididae,Aktedrilus monospermathecus,NA,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Alcyonidiidae,Alcyonidium polyoum,NA,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Nereididae,Alitta succinea,Clamworm,NA,NA,NA,NA,NA,NA,NA,N,Y,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Nereididae,Alitta virens,Sandworm/Clamworm,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Vesiculariidae,Amathia gracilis,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Tellinidae,Ameritella agilis,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Ampharetidae,Ampharete finmarchica,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Balanidae,Amphibalanus eburneus,Ivory barnacle,NA,NA,NA,NA,NA,NA,NA,N,Y,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Balanidae,Amphibalanus improvisus,Bay barnacle,NA,NA,NA,NA,NA,NA,NA,N,Y,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Calloporidae,Amphiblestrum auritum,Encrusting bryozoa,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Amphiuridae,Amphipholis squamata,Dwarf (small) brittle star,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Amphiporidae,Amphiporus angulatus,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Terebellidae,Amphitrite cirrata,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Anomiidae,Anomia simplex,Common jingle shell,NA,NA,NA,NA,G5,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,1,0
Invertebrate,,Neanuridae,Anurida maritima,Springtail,NA,NA,NA,NA,NA,NA,NA,N,Y,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Hyalidae,Apohyale prevostii,Amphipod,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Arbaciidae,Arbacia punctulata,Purple sea urchin,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Paraonidae,Aricidea catherinae,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Asteriidae,Asterias forbesi,Forbes sea star/Common sea star,NA,NA,NA,NA,NA,NA,NA,N,Y,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Asteriidae,Asterias rubens,Northern sea star,NA,NA,NA,NA,NA,NA,NA,N,Y,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Asteriidae,Asterias vulgaris,Northern sea star,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Balanidae,Balanus crenatus,Acorn barnacle (spp),NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Barentsiidae,Barentsia laxa,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Bateidae,Batea catharinensis,NA,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Pyramidellidae,Boonea bisuturalis,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Pyramidellidae,Boonea seminuda,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Tonicellidae,Boreochiton ruber,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Buccinidae,Buccinum glaciale,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Capitellidae,Capitella capitata,NA,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Caprellidae,Caprella equilibra,Skeleton shrimp,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Caprellidae,Caprella penantis,Skeleton shrimp,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Hippothoidae,Celleporella hyalina,NA,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Cirratulidae,Chaetozone setosa,NA,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Chalinidae,Chalinula loosanoffi,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Pectinidae,Chlamys islandica,Iceland scallop,NA,NA,NA,NA,NA,NA,NA,N,Y,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Cionidae,Ciona intestinalis,Vase tunicate,NA,NA,NA,NA,NA,NA,NA,N,Y,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Cirratulidae,Cirriformia grandis,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Pectinariidae,Cistenides granulata,Tusk Cone worm,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Microcionidae,Clathria prolifera,Red beard sponge,NA,NA,NA,NA,G5,NA,NA,N,Y,NA,N,NA,NA,NA,NA,NA,NA,1,0
Invertebrate,,Hydractiniidae,Clava multicornis,Club hydroid,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Naididae,Clitellio arenarius,NA,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Maldanidae,Clymenella torquata,Bamboo worm,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Corophiidae,Crassicorophium bonellii,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Calyptraeidae,Crepidula convexa,Convex slippersnail,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Calyptraeidae,Crepidula fornicata,Slipper shell,NA,NA,NA,NA,NA,NA,NA,N,Y,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Calyptraeidae,Crepidula plana,Eastern white slippersnail / Flat slipper shell,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Crisiidae,Crisia eburnea,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Bugulidae,Crisularia turrita,Fern bryozoan,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Cryptosulidae,Cryptosula pallasiana,Colonial encrusting bryozoa,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Ampithoidae,Cymadusa compta,NA,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Diastylidae,Diastylis polita,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
Invertebrate,,Diastylidae,Diastylis sculpta,,NA,NA,NA,NA,NA,NA,NA,N,N,NA,N,NA,NA,NA,NA,NA,NA,0,0
