Taxon,Subtaxon,Family,Scientific Name,Common Name,ESA,MESA,IUCN,RSGCN,G-Rank,S-Rank,USFWS,SGCN,BHHA,Priority at-risk Species,Thresholds,CCVA,Threats,Description of Threats,Pop. Trend,Other,CCVA Source,Total # of Conservation Sources,Total # of Climate Sources
Bird,Shorebird,Podicipedidae,Podiceps grisegena,Red-necked grebe,NA,NA,LC,NA,G5,S4,NA,N,N,N,N,NA,AG;EN;BIO;INV;POL;CC,"Wood & pulp plantations, marine & freshwater aquaculture, renewable energy, fishing & harvesting aquatic resources, invasive non-native/alien species/diseases,  industrial & military effluents, agricultural & forestry effluents, and habitat shifting & alteration",Decreasing,NA,NA,3,1
Bird,Shorebird,Alaudidae,Eremophila alpestris,Horned lark,NA,NA,LC,H,G5,S3,NA,Y,N,N,N,NA,AG;INV;POL,"Annual & perennial non-timber crops, livestock farming & ranching, invasive non-native/alien species/diseases, and agricultural & forestry effluents",Decreasing,NA,NA,4,1
Bird,Tern,Laridae,Chlidonias niger,Black tern,NA,NA,LC,VH,G4,S2,NA,N,N,N,N,NA,AG;NAT;INV;CC,"Annual & perennial non-timber crops, dams & water management/use, invasive non-native/alien species/diseases, and droughts",Decreasing,NA,NA,4,1
Bird,Seabird,Procellariidae,Ardenna gravis,Greater shearwater,NA,NA,LC,NA,G5,S5,NA,N,N,N,N,NA,BIO,Fishing & harvesting aquatic resources,Stable,NA,NA,3,1
Bird,Shorebird,Gaviidae,Gavia immer,Common loon,NA,SC,LC,VH,G5,S2,NA,Y,N,N,N,NA,BIO,Fishing & harvesting aquatic resources,Stable,Highest priority Waterbird Plan,NA,5,1
Bird,Gull,Laridae,Larus glaucoides,Iceland gull,NA,NA,LC,NA,G5,S2,NA,N,N,N,N,NA,BIO,Hunting & trapping terrestrial animals,Stable,NA,NA,3,1
Bird,Shorebird,Anatidae,Mergus serrator,Red-breasted merganser,NA,NA,LC,NA,G5,S1,NA,N,N,N,N,NA,BIO,Hunting & trapping terrestrial animals,Stable,NA,NA,3,1
Bird,Shorebird,Phalacrocoracidae,Phalacrocorax carbo,Great cormorant,NA,NA,LC,NA,G5,S1,NA,N,N,N,N,NA,BIO,Fishing & harvesting aquatic resources,Increasing,NA,NA,3,1
Bird,Tern,Laridae,Sterna dougallii,Roseate tern,E,E,LC,VH,G4,S2,NA,Y,N,N,N,NA,BIO,Hunting & trapping terrestrial animals and fishing & harvesting aquatic resources,Unknown,Highest priority Waterbird Plan,NA,6,1
Fish,,Molidae,Mola mola,Ocean Sunfish,NA,NA,VU,NA,G5,NA,NA,N,N,N,N,NA,BIO,Fishing & harvesting aquatic resources,Decreasing,NA,NA,2,1
Mammal,Whale,Balaenopteridae,Balaenoptera acutorostrata,Minke whale,NA,NA,LC,NA,G5,S3,NA,N,N,NA,N,NA,BIO,Fishing & harvesting aquatic resources,Unknown,NA,NA,3,1
Mammal,Porpoise,Phocoenidae,Phocoena phocoena,Harbor Porpoise,NA,NA,VU,NA,G4,S4,NA,N,N,NA,N,NA,BIO;DEV;POL,"Fishing & harvesting aquatic resources, commercial & industrial areas, domestic & urban waste water, industrial & military effluents, agricultural & forestry effluents, and excess energy",Unknown,NA,NA,3,1
Mammal,Seal,Phocidae,Phoca vitulina,Harbor Seal,NA,NA,LC,NA,G5,S4,NA,N,Y,NA,N,NA,BIO;DEV;POL;DIS;NAT;CC,"Fishing & harvesting aquatic resources, commercial & industrial areas, domestic & urban waste water, industrial & military effluents, agricultural & forestry effluents, work & other activities, dams & water management/use, and habitat shifting & alteration",Unknown,NA,NA,3,1
Bird,Tern,Laridae,Hydroprogne caspia,Caspian tern,NA,NA,LC,NA,G5,S2,NA,N,N,N,N,NA,BIO;DIS,Hunting & trapping terrestrial animals and recreational activities,Increasing,NA,NA,3,1
Mammal,Dolphin,Delphinidae,Grampus griseus,Risso's Dolphin,NA,NA,LC,NA,G5,S3,NA,N,N,NA,N,NA,BIO;DIS;POL;CC,"Fishing & harvesting aquatic resources, recreational activities, war, civil unrest & military exercises, excess energy, and habitat shifting & alteration",Unknown,NA,NA,3,1
